NAME	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
Dpp6	1	1	1	328.238479973582	458.130107861315
Dpy19l1	1	1	1	138.070405236502	85.2550367676228
Dpyd	82.3373636638261	1	1	371.572574108703	53.6118944088659
Dpysl3	1	1	1	137.216871051927	49.6207487850816
Dscam	1	1	1	1542.75172508364	481.791576234087
Dscaml1	1	1	1	659.832383915722	180.185936193634
Dtna	1978.0563315583	1	1	235.421576383319	237.776964163374
Dusp10	1	1	1	64.8828522497884	1
Dusp15	1	1	1	110.249108797543	1
Dusp26	1	1	1	253.532993211768	91.8266674319115
Dzank1	1	1	1	1	166.34121118077
E130114P18Rik	155.373245429293	1	1	91.5530248225517	1
