NAME	Neuron	Endothelial	Astrocyte	Microglia	Oligodendrocyte
Crmp1	81.6440632194332	1	1	1	1
Cryab	79.6414274187636	77.5814849665499	91.8407385519204	1	2474.90527442683
Cryba4	1	1	1	37.9191337002136	1
Crybb1	1	1	1	105.975511089797	1
Cryl1	1	1	1	161.419075667305	1
Csf1r	1	1	1	4294.79581892533	1
Csf3r	1	1	1	428.966127231426	1
Csgalnact1	1	1	165.257000034484	1	1
Csnk1g1	91.6830785674425	1	1	1	1
Cspg4	1	102.985449501372	1	1	250.999784529912
Csrnp3	145.359739083984	1	1	1	1
Cstf1	39.4821077625261	1	1	1	90.0810842144575
Cstf3	94.3684602794411	1	1	1	1
Ctbs	1	1	74.1822690371537	1	1
Cth	1	1	119.022698577727	1	1
Cthrc1	28.7513426766947	146.643438277541	1	1	1
Ctla2b	1	243.859776267305	1	1	1
Ctnnal1	1	1	1	1	109.087942817346
Ctnnd1	1	107.181648358108	1	1	1
Ctnnd2	367.006574134756	1	691.403264740978	1	220.574084320929
Ctns	1	1	165.326151096233	70.7526640408596	1
Ctsc	1	72.3466103141073	1	614.064802853231	1
Ctsh	1	867.424548534754	1	731.786564525666	1
Ctsk	1	1	1	1	73.970471913214
Ctso	1	18.7453893132982	546.106019460206	166.977966628415	1
Ctss	1	1	1	12134.563862308	1
Cttnbp2nl	1	102.41947199031	1	730.960686625815	61.4986398048654
Cul2	85.9007625266075	1	1	1	1
Cul3	57.7092929270543	1	1	151.664846241432	1
Cx3cl1	171.696837654541	1	1	1	1
Cx3cr1	1	1	1	4872.66145596449	1
Cxcl12	1	769.957081650489	1	1	1
Cxcl14	1	1	94.7818170690374	1	1
Cxcr7	1	272.468869082526	1	1	1
Cyb561	115.38963824259	1	1	1	1
Cyba	1	99.7953663937312	1	682.889903741351	1
Cyfip2	436.427341039572	1	1	1	111.748077721848
Cyp20a1	1	71.6268803016291	1	1	172.048989714836
Cyp2d22	1	100.110822466377	422.684142967796	1	1
Cyp2j12	1	1	1	1	145.558393736419
Cyp2j9	1	1	496.510473499188	1	243.197168866402
Cyp4f13	1	1	111.484588385443	36.479478185204	1
Cyp4f14	1	1	59.6623153105005	1	1
Cyp4f15	1	1	108.639741392952	1	1
Cyp7b1	1	1	117.251917805199	1	1
Cysltr1	1	1	1	128.503668036333	1
Cyth3	1	268.377483705034	1	1	1
Cyth4	1	1	1	364.467114582322	1
D0H4S114	262.358799991778	108.153903635967	1	1	1
D10Bwg1379e	74.7649819510442	1	1	1	1
D15Ertd621e	37.9080237333178	1	1	176.764611353125	1
D16Ertd472e	1	1	1	1	46.4585519212609
D16H22S680E	232.653780079429	1	1	69.2894858970646	1
