NAME	Neuron	Oligodendrocyte	Microglia	Endothelial	Astrocyte
Cpne5	97.1112818830854	1	1	1	1
Cpne6	446.582345386306	1	1	1	1
Cpne7	279.444515944088	1	1	1	1
Cpox	35.2572192539193	95.6835999976681	1	1	1
Crat	25.1520382184877	1	1	1	69.1046877488068
Creb5	1	53.5003122318429	1	1	1
Creg2	187.272458695045	1	1	1	1
Crip1	1	1	359.789593446688	2053.83295836821	146.145551189751
Crispld2	1	1	1	164.671384282071	1
Crlf3	1	1	89.581092635313	1	1
Crmp1	219.78990718122	1	1	1	1
Crtac1	139.670635207736	1	1	1	1
Crtap	1	1	1	90.0451312343568	1
Cry2	95.7360825181835	1	1	1	145.412139551485
Crym	589.535983332043	1	1	1	1
Csdc2	32.5279710816717	1	1	1	93.8229589193392
Csf1	1	41.8270898163705	1	1	79.1563313929365
Csf1r	1	1	1470.56466041353	1	1
Csgalnact1	1	1	1	59.2599422436162	81.6081142463816
Csk	1	1	83.2705491782742	1	1
Cspg4	1	1	1	161.160225596481	1
Cspg5	80.7226257941399	51.5160455290783	1	1	663.172721086432
Csrnp3	99.491318436155	1	1	1	1
Csrp2	1	1	1	398.562646051799	1
Cstf3	91.3515171762865	1	1	1	1
Ctgf	1	1	1	191.804450187667	1
Cth	1	1	1	1	63.4959888336964
Cthrc1	1	1	1	65.4913520840135	1
Ctla2a	1	1	1	1503.53023852687	1
Ctla2b	1	1	186.712400757714	133.815528929301	1
Ctnnal1	1	54.5866019702506	1	1	1
Ctps	53.1627023538121	195.073277666925	1	1	1
Ctsc	1	1	1037.33295370254	1	1
Ctsh	1	1	248.470128245445	221.192576602175	1
Ctsk	1	54.9465147627207	1	1	1
Ctss	1	1	2212.06165858387	1	1
Cttnbp2nl	1	1	146.856491477426	103.030475488002	1
Ctxn1	304.959412411042	1	1	1	43.5165132430098
Cx3cr1	1	1	1084.43046011347	1	1
Cxcl1	1	1	669.106746681993	1	1
Cxcl10	1	1	213.472570202196	1	1
Cxcl12	1	1	1	517.570712474679	1
Cxcl14	1	1	1	1	246.576182898073
Cxcl16	1	1	154.476574213529	1	1
Cxcl2	1	1	765.637698600766	1	1
Cyb561	68.6443985119765	1	1	1	1
Cyba	1	1	579.210819253279	153.729974015116	1
Cybb	1	1	480.912909229869	1	1
Cyp20a1	1	64.4505415005541	1	1	1
Cyp2d22	1	1	1	102.667480859284	288.288425989285
Cyp2j12	1	86.8366022673833	1	1	1
Cyp2j6	1	104.447680531214	1	1	138.227520876355
Cyp2j9	1	1	1	1	188.323289995526
Cyp4f15	1	1	1	1	74.4404020967059
Cyp51	45.6893319326346	642.631822237518	1	1	241.355934902778
Cyp7b1	1	1	1	1	96.9766664076726
Cysltr1	1	1	91.30563509752	1	1
Cyth4	1	1	124.158183786048	1	1
D10Bwg1379e	99.9087700457144	1	1	1	1
D16Ertd472e	1	74.2782430828358	1	1	1
D1Ertd622e	49.5076890895569	93.1372704860314	1	1	1
D430041D05Rik	136.915093021567	1	1	1	1
Daam2	1	90.3691304802787	1	99.3630540129696	268.457485748457
Dab2	1	1	1146.47376354427	101.945700301437	1
Dact3	92.270857058695	133.263725465313	1	1	1
Dagla	83.9872974977716	1	1	1	1
Dap	1	1	1	47.0083341920108	1
Dapk1	94.3216056733385	1	1	1	1
Dapp1	1	1	72.9790693437186	1	1
Dbndd2	95.9823158709828	1208.66498110284	1	50.6736287786489	149.432654632095
Dbx2	1	1	1	1	215.913372616242
Dcaf12l1	108.229553308082	1	1	1	1
Dclre1c	1	1	152.1325210548	1	1
Dcn	177.557444435194	1	1	1	1
Dcps	26.888613294888	108.893638078363	1	1	1
Dcxr	1	1	51.7034959587851	1	77.9575796065812
Ddc	1	58.7295938616309	1	91.7954914490147	1
Ddit4	1	72.5564486832549	1	1	1
Ddit4l	1	1	1	1	45.4248195014699
Ddn	266.696996539144	1	1	1	1
Ddr1	27.9544742015171	473.069823473586	1	1	154.516608354142
Ddx60	1	1	102.102416516927	1	1
Decr1	1	1	1	1	114.708361802006
Degs2	1	1	1	190.531465311322	1
Dennd1c	1	1	76.255200915856	1	1
Desi2	26.6198758531971	1	1	1	64.2327116247653
Dgkg	303.256634875199	1	1	1	1
Dhcr24	58.3251498581032	279.535246609132	1	1	145.561641094284
Dhcr7	1	72.0388142152404	1	1	75.6877649280557
Dhrs3	1	1	131.224239390889	1	54.842155015285
Dio2	1	1	1	1	294.79352565481
Dip2a	34.3462742052039	222.269405054971	1	1	61.8648779520924
Diras2	154.479833200543	1	1	1	1
Disp2	254.819581853589	1	1	1	1
Dixdc1	75.0496832890652	192.942820216939	1	1	1
Dkk3	304.433930193793	1	1	1	172.139878415542
Dlc1	35.3724681663899	1	1	270.017732333676	1
Dlg3	135.593768370103	1	1	1	1
Dlg5	1	1	1	1	66.3580284363758
Dmtn	234.101716426309	1	1	72.5840552552879	1
Dnajb5	72.6315842486505	1	1	1	1
Dnajb9	33.3436888343327	1	1	1	65.4107231615738
Dnajc24	1	120.574735389939	1	1	42.0923448495889
Dnase1l1	1	1	93.4419674633403	1	1
Dnase2a	1	1	80.8305106042854	1	1
Dock10	1	292.947733859421	1	1	1
Dock2	1	1	90.6174783950944	1	1
Dock5	1	54.9801125648863	1	1	1
Dock6	1	1	1	136.174797479557	1
Dock8	1	1	62.0647310503281	1	1
Dok4	21.2179034494102	1	1	99.1405959851073	1
Dpp10	86.6261594603476	1	1	1	1
Dpp6	112.712370829831	1	1	1	1
Dpy19l3	50.8639878309058	1	1	1	73.8254035550071
Dpysl3	72.9700254307098	1	1	1	1
Dse	1	1	226.308396435652	1	1
Dtx1	38.8625377193297	1	1	1	86.7976792243691
Dusp10	1	36.092527106563	1	1	1
Dusp15	1	120.300432037674	1	1	1
Dusp16	1	48.8756409695687	1	1	1
Dusp19	1	30.8096981018189	1	1	1
Dusp2	1	1	74.4215003541005	1	1
Dync1i1	181.10061477763	1	1	36.0046033539845	1
Dzank1	105.298721131975	1	1	1	1
Dzip1l	1	1	1	1	44.3831339853381
E130114P18Rik	1	1	1	1	135.239850463581
E130308A19Rik	1	37.3129387438137	1	1	1
E330020D12Rik	1	46.7721328881257	1	1	1
Ebf1	1	1	1	59.7266016447488	1
Ebi3	1	1	49.3237653877806	1	1
Ebp	38.8436259163605	156.427624940717	1	1	1
Ece1	39.9176826019726	1	1	286.188243437944	59.253259668584
Eci1	1	1	1	1	61.7482850607407
Ecm1	1	1	1	75.993635754275	1
Edem1	1	1	70.9356142487437	1	1
Edem2	1	36.5302397852095	1	1	1
Edil3	75.6030022263804	330.119258147999	1	1	1
Edn1	1	1	1	255.347972300801	1
Edn3	1	1	1	160.389171960872	1
Ednrb	1	1	514.890573286492	90.1027430811467	749.415981783407
Eef1a2	218.258233984744	1	1	1	1
Efemp2	1	1	1	1	51.2557797055131
Efhd1	1	190.621366955461	1	1	1
Efna1	1	53.5395390700183	1	103.512334110544	1
